,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
VTL,22.46,10.299999999999999,25.6,6.859999999999999,-11.06,-0.09,0.51,5.609999999999999
WELSPUNLIV,18.81,10.9,41.77,10.72,3.61,1.7399999999999998,1.3299999999999998,8.88
ALOKINDS,17.419999999999998,-13.100000000000001,31.95,-12.65,-8.84,-0.63,-3.35,2.58
RAYMOND,-6.93,-12.55,-11.51,-16.189999999999998,-49.39,-13.139999999999999,-6.529999999999999,0.48
KPRMILL,15.22,23.13,26.889999999999997,13.73,8.43,-6.08,0.27999999999999997,2.87
PAGEIND,15.61,29.42,15.07,29.95,12.11,4.81,5.45,6.08
TRIDENT,-1.9300000000000002,-15.840000000000002,-5.82,-13.38,-6.67,-1.8399999999999999,-1.8399999999999999,3.2800000000000002
