,spot,fut_near,fut_far,basis_near,basis_far,basis_pct_near,basis_pct_far,fut_30d,basis_pct_30d
MCX,4855.45,4855.85,4876.75,0.4,21.3,0.01,0.44,4855.85,0.1
METROPOLIS,2079.5,2078.35,2088.95,-1.15,9.45,-0.06,0.45,2078.35,-0.67
MFSL,1085.45,1086.15,1091.45,0.7,6.0,0.06,0.55,1086.15,0.78
MGL,1779.45,1775.6,1784.5,-3.85,5.05,-0.22,0.28,1775.6,-2.63
MOTHERSON,199.91,199.5,200.67,-0.41,0.76,-0.21,0.38,199.5,-2.5
MPHASIS,3034.0,3039.0,3055.45,5.0,21.45,0.16,0.71,3039.0,2.01
MRF,138807.59,138992.15,139772.95,184.56,965.36,0.13,0.7,138992.15,1.62
MUTHOOTFIN,1986.25,1983.85,1995.15,-2.4,8.9,-0.12,0.45,1983.85,-1.47
NATIONALUM,185.53,185.65,184.81,0.12,-0.72,0.06,-0.39,185.65,0.79
NAUKRI,7493.95,7505.0,7541.5,11.05,47.55,0.15,0.63,7505.0,1.79
NAVINFLUOR,3290.45,3294.9,3313.1,4.45,22.65,0.14,0.69,3294.9,1.65
NESTLEIND,2521.45,2516.6,2530.2,-4.85,8.75,-0.19,0.35,2516.6,-2.34
NMDC,229.65,229.8,229.57,0.15,-0.08,0.07,-0.03,229.8,0.79
NTPC,409.65,409.95,412.5,0.3,2.85,0.07,0.7,409.95,0.89
OBEROIRLTY,1728.15,1727.85,1738.4,-0.3,10.25,-0.02,0.59,1727.85,-0.21
OFSS,10950.1,10931.95,10991.0,-18.15,40.9,-0.17,0.37,10931.95,-2.02
ONGC,328.85,329.05,331.05,0.2,2.2,0.06,0.67,329.05,0.74
PAGEIND,41528.35,41646.25,41555.3,117.9,26.95,0.28,0.06,41646.25,3.45
PEL,1082.4,1084.9,1089.45,2.5,7.05,0.23,0.65,1084.9,2.81
PERSISTENT,4909.55,4904.6,4933.55,-4.95,24.0,-0.1,0.49,4904.6,-1.23
PETRONET,369.35,368.5,370.25,-0.85,0.9,-0.23,0.24,368.5,-2.8
PFC,536.45,535.05,535.3,-1.4,-1.15,-0.26,-0.21,535.05,-3.18
PIDILITIND,3099.15,3095.9,3114.35,-3.25,15.2,-0.1,0.49,3095.9,-1.28
PIIND,4458.55,4447.95,4477.5,-10.6,18.95,-0.24,0.43,4447.95,-2.89
PNB,115.96,116.05,116.48,0.09,0.52,0.08,0.45,116.05,0.94
POLYCAB,6769.55,6770.05,6808.6,0.5,39.05,0.01,0.58,6770.05,0.09
POWERGRID,335.35,335.65,337.55,0.3,2.2,0.09,0.66,335.65,1.09
PVRINOX,,1523.75,1527.1,,,,,1523.75,
RAMCOCEM,821.75,823.4,826.9,1.65,5.15,0.2,0.63,823.4,2.44
RBLBANK,231.24,232.85,234.17,1.61,2.93,0.7,1.27,232.85,8.47
RECLTD,617.35,616.45,620.15,-0.9,2.8,-0.15,0.45,616.45,-1.77
RELIANCE,3000.9,3003.5,3020.7,2.6,19.8,0.09,0.66,3003.5,1.05
SAIL,135.9,135.86,135.51,-0.04,-0.39,-0.03,-0.29,135.86,-0.36
SBICARD,736.75,738.55,727.25,1.8,-9.5,0.24,-1.29,738.55,2.97
SBILIFE,1838.95,1834.25,1844.7,-4.7,5.75,-0.26,0.31,1834.25,-3.11
SBIN,815.9,816.95,821.2,1.05,5.3,0.13,0.65,816.95,1.57
SHREECEM,24813.2,24855.3,24975.55,42.1,162.35,0.17,0.65,24855.3,2.06
SHRIRAMFIN,3229.45,3227.6,3245.05,-1.85,15.6,-0.06,0.48,3227.6,-0.7
