,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
SWANENERGY,29.54,-11.17,134.98000000000002,-9.25,10.84,-1.7399999999999998,-3.3000000000000003,-1.9
GODREJIND,42.61,32.54,114.5,31.019999999999996,34.28,6.0600000000000005,5.16,4.73
3MINDIA,-3.11,13.04,22.2,17.580000000000002,6.9,0.8500000000000001,-0.5599999999999999,1.44
DCMSHRIRAM,12.41,21.17,27.99,18.35,17.41,0.72,-0.06,2.4899999999999998
