,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
SUNTV,8.32,24.77,26.21,25.81,-2.15,-8.84,-3.47,-2.13
PVRINOX,-2.9499999999999997,17.44,-4.569999999999999,12.839999999999998,12.620000000000001,-6.16,1.26,-1.03
NETWORK18,-6.49,-23.66,14.000000000000002,-8.74,4.49,0.13,3.26,-4.9799999999999995
SAREGAMA,46.239999999999995,33.35,54.81,26.009999999999998,1.27,-12.64,-2.48,-5.36
ZEEL,-51.78,-17.7,-48.88,-8.52,-1.49,-1.59,0.91,2.76
TV18BRDCST,-16.02,-28.78,-5.2299999999999995,-10.05,2.8899999999999997,-5.0,0.0,0.0
