,calendar_ytd_ret,financial_ytd_ret,1y_ret,6m_ret,3m_ret,exp_ret,5d_ret,3d_ret
IDFCFIRSTB,-16.64,-8.559999999999999,-15.93,-9.790000000000001,-5.7700000000000005,-2.0500000000000003,1.04,-1.66
IDFC,-11.06,-3.27,-4.9799999999999995,-3.8,-3.06,-0.91,1.41,-1.1900000000000002
IIFL,-22.59,-22.06,-17.419999999999998,-25.03,15.43,-0.9299999999999999,0.04,-1.6400000000000001
ICICIBANK,22.79,16.3,27.529999999999998,17.25,8.32,0.06,2.87,1.8599999999999999
IBULHSGFIN,-13.3,-11.44,20.72,-10.85,-0.67,0.8500000000000001,-1.78,-5.16
IEX,14.360000000000001,34.23,52.23,30.91,18.66,8.32,-3.26,-3.38
IOB,41.52,-5.21,101.91,-12.83,-17.740000000000002,-6.7299999999999995,-1.35,-1.6500000000000001
IRFC,83.65,24.33,265.86,15.010000000000002,-1.13,-5.1,1.4200000000000002,0.16999999999999998
INDUSINDBK,-12.45,-5.09,0.79,-5.64,-4.45,-0.8699999999999999,0.22999999999999998,0.19
SBILIFE,25.61,15.9,38.73,20.86,27.38,10.0,1.9800000000000002,0.06
SBICARD,-4.83,0.45999999999999996,-15.409999999999998,-0.75,2.5,-3.1300000000000003,1.3599999999999999,0.83
SBFC,-4.93,0.45999999999999996,-7.82,-5.3,2.71,3.8699999999999997,0.44,-1.8599999999999999
INDIANB,32.92,6.54,43.03,3.0,-3.4099999999999997,-3.95,-2.04,-1.03
HUDCO,122.83,46.82,330.39,45.34,5.82,-11.14,-1.95,-2.4699999999999998
ICICIGI,49.99,24.44,58.32000000000001,29.65,31.2,11.129999999999999,2.82,1.87
NUVAMA,78.27,54.74,144.96,48.24,31.669999999999998,21.63,-3.4299999999999997,1.63
SHRIRAMFIN,55.48,30.36,77.81,30.29,33.57,16.07,0.06999999999999999,0.59
HDFCLIFE,12.590000000000002,25.11,15.07,24.42,29.04,7.86,2.12,-0.05
HDFCBANK,-2.74,18.45,3.19,17.31,7.35,2.2399999999999998,0.13999999999999999,0.53
HDFCAMC,39.900000000000006,19.470000000000002,79.73,20.06,14.38,8.52,2.48,-0.44999999999999996
STARHEALTH,13.44,8.03,-3.84,7.779999999999999,13.19,-1.08,1.6,-0.52
SBIN,29.07,10.780000000000001,47.77,9.15,-2.2399999999999998,-4.34,-0.64,-0.64
GICRE,32.28,7.21,113.6,-3.9899999999999998,11.78,8.15,0.13999999999999999,0.12
HOMEFIRST,17.95,26.36,28.63,24.26,34.03,4.91,5.79,4.25
NAM-INDIA,58.919999999999995,38.019999999999996,129.31,39.36,17.18,10.65,-0.58,-2.36
SUNDARMFIN,25.259999999999998,5.0,69.21000000000001,7.7299999999999995,-1.3299999999999998,-2.94,2.55,-1.24
