,current_close,prev_expiry_close,prev_expiry_high,prev_expiry_low,current_oi,prev_expiry_oi,current_basis,prev_expiry_basis,price_change,oi_pct_change,basis_change,expiry_signal
GRASIM,2705.25,2676.2,2853.85,2517.85,7663250.0,8359750.0,0.62,0.78,1.09,-8.33,-0.16,price above close
GUJGASLTD,665.6,603.3,672.0,588.75,10316250.0,11286250.0,-2.33,-0.91,10.33,-8.59,-1.41,price above close
HAL,4705.6,4602.0,5054.25,4525.95,13068300.0,13960200.0,0.49,0.78,2.25,-6.39,-0.29,price above close
HAVELLS,1891.05,1893.25,1926.4,1790.2,8578500.0,8799000.0,0.4,0.49,-0.12,-2.51,-0.08,price below close
HCLTECH,1807.65,1751.85,1751.85,1564.5,15684900.0,18131050.0,0.03,0.49,3.19,-13.49,-0.45,price above high
HDFCAMC,4430.3,4454.0,4504.05,3991.25,2852700.0,2800050.0,0.69,0.47,-0.53,1.88,0.22,price below close
HDFCBANK,1632.2,1638.55,1664.5,1606.5,169846050.0,173474400.0,0.43,0.45,-0.39,-2.09,-0.02,price below close
HDFCLIFE,747.75,736.9,738.0,683.15,24079000.0,31201500.0,0.43,0.79,1.47,-22.83,-0.36,price above high
HEROMOTOCO,5609.45,5374.4,5493.1,5081.4,4155900.0,4515300.0,0.66,0.52,4.37,-7.96,0.14,price above high
HINDALCO,687.9,700.5,711.0,609.95,38942400.0,40685400.0,0.7,0.48,-1.8,-4.28,0.22,price below close
HINDCOPPER,321.15,328.7,330.5,283.55,45309700.0,33236300.0,0.25,1.06,-2.3,36.33,-0.8,price below close
HINDPETRO,429.65,415.85,415.85,371.65,62957250.0,65016675.0,0.52,0.73,3.32,-3.17,-0.21,price above high
HINDUNILVR,2797.45,2785.25,2820.4,2704.75,14008800.0,14826300.0,0.38,0.72,0.44,-5.51,-0.35,price above close
ICICIBANK,1233.6,1221.9,1224.65,1159.15,78643600.0,90253800.0,0.39,0.7,0.96,-12.86,-0.31,price above high
ICICIGI,2195.15,2138.35,2147.65,1920.8,4763500.0,4837000.0,0.5,0.57,2.66,-1.52,-0.07,price above high
ICICIPRULI,757.9,742.3,745.8,701.7,13050000.0,13846500.0,0.65,0.75,2.1,-5.75,-0.1,price above high
IDEA,15.14,16.3,16.43,15.18,4785000000.0,4675240000.0,0.73,0.72,-7.12,2.35,0.01,price below low
IDFC,114.31,111.16,113.58,105.45,112770000.0,117810000.0,0.37,0.42,2.83,-4.28,-0.05,price above high
IDFCFIRSTB,75.09,73.23,76.08,70.82,472380000.0,500722500.0,0.07,0.38,2.54,-5.66,-0.31,price above close
IEX,204.66,205.71,205.71,176.09,70732500.0,73353750.0,0.71,0.65,-0.51,-3.57,0.06,price below close
IGL,544.25,543.35,555.6,523.8,13190375.0,12941500.0,-0.56,-0.47,0.17,1.92,-0.09,price above close
INDHOTEL,659.9,648.3,664.45,600.15,20323000.0,18864000.0,0.73,0.75,1.79,7.73,-0.02,price above close
INDIAMART,2984.6,3020.25,3161.95,2627.65,1038300.0,1441800.0,0.47,-1.18,-1.18,-27.99,1.65,price below close
